key,name.en-US,slug.en-US,description.en-US,externalId,parent.key,parent.typeId,orderHint,metaTitle.en-US,metaDescription.en-US,metaKeywords.en-US
fish,Fish,fish,,,,,0.000017467924319371405756818,,,
dog-food,dog-food,dog-food,,,dog,category,0.00001746792430872267485411,,,
fish-health,fish-health,fish-health,"Maintain the vitality of your aquatic pets with our comprehensive range of fish health products. From treatments for common ailments like ich and fin rot to water conditioners and test kits, our selection ensures a healthy environment for your fish. Regular monitoring and prompt care are key to preventing diseases and promoting longevity in your aquarium inhabitants.",,fish,category,0.00001746792432099230940733,,,
hamster,hamster,hamster,"Explore our comprehensive range of hamster products designed to ensure your small pet's health and happiness. From spacious cages and cozy bedding to nutritious food and engaging toys, we offer everything you need to create a stimulating and comfortable environment for your hamster. Provide your furry friend with the essentials they need for a vibrant and active life",,small-animal,category,0.000017467924317811810588110,,,
cat-trees,cat-trees,cat-trees,"This Tower is the purrfect addition to your home for your cat. The centre has plenty of places for cat napping, including knitted plush napping areas, and it is split over multiple levels to give your cat more space and areas to roam. This also offers amazing multi-platform vantage points that your cat will love. Featuring a sensational claw friendly jute scratch and stretch posts as well as hidey holes and hanging toys for fun playtimes.",,cat,category,0.000017467924315541770159700,,,
dog-treats,dog-treats,dog-treats,"They can be fed anytime as a treat and are ideal to use in training all dogs, especially puppies. When feeding treats reduce your dog's main meal to keep them in a lean, active condition.",,dog,category,0.00001746792431047230940733,,,
cat-food,cat-food,cat-food,,,cat,category,0.000017467924313191350197200,,,
dog,Dog,Dog,,,,,0.000017467924306781582965198,,,
dog-clothing,Coats & Clothing,dog-clothing,"A padded jacket that goes both ways for the ultimate Spring wardrobe makeover. Side one features a cute ditsy print. Easy-to-wear, thanks to the simple fastening at the neck and chest, whichever way you wear, the handy harness hole to connect your lead means its perfect to throw on and go.",,dog,category,0.000017467924311451927749713,,,
rabbit,rabbit,rabbit,"Discover a comprehensive range of products tailored for your rabbit's well-being. From nutritious hay and pellets to engaging toys and essential healthcare items, our selection ensures your rabbit stays healthy and happy. Provide your furry friend with the best in comfort, nutrition, and care",,small-animal,category,0.000017467924317301539538112,,,
cat-healthcare,cat-healthcare,cat-healthcare,"Ensure your feline companion's well-being with our comprehensive selection of healthcare essentials. From preventive care to treatments for common ailments, our products support your cat's health at every life stage. Regular veterinary check-ups, a balanced diet, and proper hygiene are key to a long, healthy life for your cat.",,cat,category,0.00001746792431608329761608,,,
cat-food-dry,cat-food-dry,cat-food-dry,Complete dietetic pet food for cats of all life stages for the reduction of ingredient and nutrient intolerances.,,cat-food,category,0.000017467924314541664862494,,,
rat,rat,rat,"Discover a comprehensive selection of products tailored to meet the unique needs of your pet rat. From spacious, multi-level habitats with solid flooring to ensure safety and comfort, to high-quality pelleted diets that provide balanced nutrition, we offer everything to keep your rat healthy and happy. Enhance their environment with engaging toys, chewable accessories, and cozy nesting materials to support their natural behaviors and well-being. Our range also includes essential items like water bottles, food dishes, and hideouts, ensuring your furry friend enjoys a stimulating and comfortable life.",,small-animal,category,0.00001746792431834297322025,,,
fish-food,fish-food,fish-food,"Provide your aquatic pets with the nutrition they need to thrive. Our selection of fish food caters to a variety of species and dietary requirements, offering options like flakes, pellets, freeze-dried, and frozen foods. Whether you have herbivorous, carnivorous, or omnivorous fish, you'll find the right balance of proteins, fats, and essential nutrients to support their health and vitality. Choose from trusted brands to keep your fish vibrant and active.",,fish,category,0.00001746792432001785686270,,,
dog-food-wet,dog-food-wet,dog-food-wet,"They believe nothing is better for your dog than natures most nourishing food. They carefully prepare all of their meals right here in the heart of England with natural ingredients from British & Irish farms and only use suppliers they know and trust, to make delicious and nourishing food for dogs.",,dog-food,category,0.000017467924309391613969454,,,
small-animal,Small Animal,small-animal,,,,,0.000017467924316621694339404,,,
chinchilla,chinchilla,chinchilla,"Provide your chinchilla with the essentials for a healthy and happy life. Our selection includes high-quality pelleted food, fresh hay, and chew toys to support dental health. Ensure their comfort with spacious cages featuring solid flooring and multiple levels for exploration. Maintain their luxurious fur with regular dust baths using specialized chinchilla dust. Explore our range of products designed to meet your chinchilla's unique needs.",,small-animal,category,0.000017467924318931024914500,,,
fish-tanks,fish-tanks,fish-tanks,"Explore our diverse collection of fish tanks designed to suit every aquarist's needs. Whether you're setting up a freshwater community aquarium or a vibrant saltwater reef, our selection includes various sizes and styles to fit your space and preferences. Choose from glass or acrylic tanks, ranging from compact nano aquariums to expansive setups, ensuring a perfect environment for your aquatic life. Complement your tank with essential accessories like filtration systems, lighting, and décor to create a thriving underwater ecosystem.",,fish,category,0.00001746792432049978801467,,,
cat-treats,cat-treats,cat-treats,A totally unique and tasty treat for your purry partner. These nutritious sachets make the perfect daily treat as well as a sneaky disguise for medication or as a food topper.,,cat,category,0.00001746792431503887220021,,,
dog-toys,Toys,dog-toys,"Dogs love to play and in lots of different ways, that's why we have designed a range of dog toys that are fun and diverse to help fulfil their playtime needs.",,dog,category,0.00001746792431094325457309,,,
dog-food-dry,dog-food-dry,dog-food-dry,"Crafted with a handful of nature's nourishing ingredients and combined with flavourful turkey to create highly digestible, tasty dry dog food. This recipes support digestion, immunity and promote healthy skin and coat. You can be sure that your dog is enjoying a balanced diet. One that not only tastes good but does them a world of good too.",,dog-food,category,0.000017467924309962045275863,,,
cat,Cat,Cat,,,,,0.0000174679243125450530205,,,
cat-food-wet,cat-food-wet,cat-food-wet,"Give your cat the tempting feasts they deserve. All four delicious recipes are served in jelly and have no added grain, perfect for delicate little tums, while the mouth-watering tastes and textures keep them coming back for these complete and balanced meals.",,cat-food,category,0.000017467924314001240591682,,,
